;Fecha;Sum_uxt_motivos_2;Sum_uxt_motivos_3;Sum_uxt_motivos_4;#uxt_motivos_2;#uxt_motivos_3;#uxt_motivos_4;uxt_mensual;disp_p;disp_f;disp_final
92;2020-09-01;0.0;15425.0;1413.0;0;27;5;10550880.000000002;0.9985380366377022;0.9998660775214958;0.9996004693447371
93;2020-10-01;0.0;43226.0;237.0;0;38;3;10902576.000000002;0.9960352489173201;0.9999782620180772;0.9991896593979258
94;2020-11-01;1472.0;40234.0;109.0;1;22;1;10550880.000000002;0.9960471543605841;0.9999896691081692;0.9992011661586523
95;2020-12-01;0.0;17955.0;3281.0;0;13;5;10902576.000000002;0.9983531414961014;0.9996990619464611;0.9994298778563893
96;2021-01-01;0.0;10471.0;99.0;0;8;1;10902576.000000002;0.99903958477336;0.9999909195771715;0.9998006526164093
97;2021-02-01;0.0;35228.0;0.0;0;24;0;9847488.000000002;0.996422640982147;1.0;0.9992845281964294
98;2021-03-01;0.0;51351.0;392.0;0;30;2;10902576.000000002;0.995290012195283;0.9999640451944568;0.9990292385946221
99;2021-04-01;316.0;20722.0;3934.0;1;20;8;10550880.000000002;0.9980060430978269;0.999627140105849;0.9993029207042446
100;2021-05-01;115.0;26320.0;254.0;2;24;2;10902576.000000002;0.9975753436619016;0.9999767027535511;0.9994964309352212
101;2021-06-01;0.0;29104.0;0.0;0;30;0;10550880.000000002;0.997241557102346;1.0;0.9994483114204693
102;2021-07-01;0.0;19660.0;2813.0;0;19;7;10902576.000000002;0.998196756436277;0.9997419875816504;0.9994329413525758
103;2021-08-01;0.0;12398.0;1277.0;0;18;9;10902576.000000002;0.9988628375532534;0.9998828717176564;0.9996788648847759
104;2021-09-01;16316.0;30055.0;2985.0;8;31;6;10550880.000000002;0.9956050111459898;0.9997170852099541;0.9988946703971612
105;2021-10-01;456.0;47973.0;137.0;1;35;4;10902576.000000002;0.9955580222508882;0.9999874341623485;0.9991015517800564
106;2021-11-01;0.0;51359.0;1232.0;0;32;2;10550880.000000002;0.9951322543711993;0.9998832324886644;0.9989330368651714
107;2021-12-01;1312.0;16430.0;192.0;2;20;4;10902576.000000002;0.9983726781633991;0.9999823894829992;0.9996604472190793
108;2022-01-01;1320.0;7353.0;86.0;2;7;3;10902576.000000002;0.9992044999273566;0.9999921119559267;0.9998345895502128
109;2022-02-01;6834.0;23438.0;106.0;4;31;2;9847488.000000002;0.9969259165383091;0.9999892358335446;0.9993765719744976
110;2022-03-01;6625.0;33191.0;2094.0;4;31;3;10902576.000000002;0.9963480190369689;0.9998079352989605;0.9991159520465622
111;2022-04-01;0.0;29484.0;6392.0;0;23;4;10550880.000000002;0.9972055411491743;0.9993941737561227;0.9989564472347331
112;2022-05-01;0.0;67252.0;240.0;0;39;2;10902576.000000002;0.9938315495347154;0.9999779868537491;0.9987486993899424
113;2022-06-01;607.0;36566.0;384.0;2;31;1;10550880.000000002;0.9964767867703926;0.9999636049315318;0.9992662412993041
114;2022-07-01;3322.0;29325.0;97.0;1;15;1;10902576.000000002;0.9970055700597731;0.9999911030200569;0.9993939964280002
115;2022-08-01;0.0;33304.0;92.0;0;27;2;10902576.000000002;0.996945309071911;0.9999915616272704;0.9993823111161986
116;2022-09-01;52.0;53095.0;98.0;2;36;1;10550880.000000002;0.9949627898336442;0.9999907116752347;0.9989851273069167
117;2022-10-01;7249.0;36745.0;654.0;1;18;3;10902576.000000002;0.9959648068493171;0.9999400141764662;0.9991449727110364
118;2022-11-01;0.0;16068.0;714.0;0;12;3;10550880.000000002;0.9984770938537828;0.9999323279195669;0.9996412811064102
119;2022-12-01;2567.0;1489.0;669.0;1;2;6;10902576.000000002;0.9996279778283591;0.9999386383548255;0.9998765062495323
120;2023-01-01;0.0;9912.0;1543.0;0;19;6;10902576.000000002;0.9990908570598361;0.999858473813895;0.9997049504630833
121;2023-02-01;6978.0;18064.0;773.0;4;14;3;9847488.000000002;0.9974570164492711;0.9999215028238674;0.9994286055489482
122;2023-03-01;0.0;56818.0;56706.0;0;24;27;10902576.000000002;0.9947885710679751;0.9947988438695589;0.9947967893092422
123;2023-04-01;12869.0;45802.0;162.0;5;25;3;10550880.000000002;0.994439231609117;0.99998464583049;0.9988755629862155
124;2023-05-01;0.0;23586.0;7956.0;0;20;4;10902576.000000002;0.9978366580521888;0.9992702642017813;0.998983542971863
125;2023-06-01;406.0;19507.0;7575.0;2;18;5;10550880.000000002;0.9981126692749799;0.9992820504071698;0.9990481741807318
126;2023-07-01;6449.0;14217.0;532.0;3;18;4;10902576.000000002;0.9981044846649085;0.9999512041924771;0.9995818602869634
127;2023-08-01;15312.0;36429.0;1207.0;5;31;7;10902576.000000002;0.9952542408326253;0.9998892922186463;0.9989622819414422
128;2023-09-01;221.0;38826.0;461.0;2;29;3;10550880.000000002;0.9962991712539617;0.9999563069620733;0.999224879820451
129;2023-10-01;0.0;35608.0;4612.0;0;36;2;10902576.000000002;0.996733982867902;0.999576980706211;0.9990083811385493
130;2023-11-01;0.0;32888.0;523.0;0;22;3;10550880.000000002;0.9968829140318154;0.9999504306749769;0.9993369273463446
131;2023-12-01;0.0;12735.0;20481.0;0;18;17;10902576.000000002;0.9988319274270594;0.9981214531318103;0.9982635479908603
132;2024-01-01;0.0;7689.0;8744.0;0;12;4;10902576.000000002;0.9992947538269855;0.9991979877049241;0.9992173409293363
133;2024-02-01;13289.0;11269.0;1779.0;8;8;4;10199184.000000002;0.9975921603140016;0.9998255742812366;0.9993788914877897
134;2024-03-01;0.0;37340.0;1262.0;0;25;7;10902576.000000002;0.9965751213291244;0.9998842475392972;0.9992224222972627
135;2024-04-01;0.0;47555.0;188.0;0;27;1;10550880.000000002;0.9954927930182127;0.9999821815810624;0.9990843038684926
136;2024-05-01;0.0;16211.0;463.0;0;25;4;10902576.000000002;0.9985131036921916;0.9999575329720243;0.9996686471160579
